Known As,Full Name,Age,Overall,Positions Played,Best Position,Nationality,Club Name
A. Sima,Abdallah Sima,21,72,"RM,ST",ST,Senegal,Angers SCO
B. Dia,Boulaye Dia,25,79,"ST,RW",ST,Senegal,US Salernitana 1919
M. Ndiaye,Mor Ndiaye,21,63,CDM,CB,Senegal,Estoril Praia
I. Soumaré,Issa Soumaré,21,62,"ST,RM,RW",ST,Senegal,US Quevilly Rouen Métropole
M. Niang,Mouhamed Niang,22,59,"CDM,CB",CDM,Senegal,Hartlepool United
I. Camara,Idrissa Camara,24,58,LW,LW,Senegal,Dijon FCO
P. Sagna,Pierre Sagna,31,70,RB,RB,Senegal,Santa Clara
R. Coly,Racine Coly,26,66,LB,LB,Senegal,Estoril Praia
S. Mané,Sadio Mané,30,89,"LM,CF",LM,Senegal,FC Bayern München
C. Diedhiou,Christophe Diedhiou,34,65,CB,CB,Senegal,US Quevilly Rouen Métropole
A. Diop,Amidou Diop,30,66,"CDM,CM",CDM,Senegal,Kristiansund BK
M. Koné,Moussa Koné,25,71,ST,ST,Senegal,Nîmes Olympique
N. Jackson,Nicolas Jackson,21,71,"ST,CAM,LM",ST,Senegal,Villarreal CF
V. Vasić,Vaso Vasić,32,67,GK,GK,Serbia,FC Luzern
D. Aleksić,Danijel Aleksić,31,73,"CAM,CM,LM",CAM,Serbia,İstanbul Başakşehir FK
M. Makarić,Milan Makarić,26,67,ST,ST,Serbia,Aalborg BK
J. Nišić,Jovan Nišić,24,64,"CDM,CM",CAM,Serbia,Pau FC
M. Pantović,Miloš Pantović,25,71,"CAM,CM",CAM,Serbia,1. FC Union Berlin
Ž. Živković,Živko Živković,33,69,GK,GK,Serbia,PAOK
M. Poletanović,Marko Poletanović,28,66,"CM,CDM",CM,Serbia,Zagłębie Lubin
N. Djorić,Nikola Djorić,22,60,CB,CB,Serbia,SK Austria Klagenfurt
N. Maraš,Nikola Maraš,26,72,CB,CB,Serbia,Deportivo Alavés
N. Maksimović,Nikola Maksimović,30,71,CB,CB,Serbia,Genoa
S. Milinković-Savić,Sergej Milinković-Savić,27,86,CM,CM,Serbia,Lazio
N. Maksimović,Nemanja Maksimović,27,79,"CM,CDM",CM,Serbia,Getafe CF
S. Babić,Srđan Babić,26,73,CB,CB,Serbia,Unión Deportiva Almería
N. Boranijašević,Nikola Boranijašević,30,69,"RWB,RB,RM",RWB,Serbia,FC Zürich
A. Ignjovski,Aleksandar Ignjovski,31,65,"CDM,CM,RB",CDM,Serbia,Holstein Kiel
M. Svilar,Mile Svilar,22,69,GK,GK,Serbia,Roma
I. Kričak,Ivan Kričak,25,61,CB,CB,Serbia,Mjällby AIF
D. Tetek,Dejan Tetek,19,64,"CDM,CM,RB",CDM,Serbia,Reading
N. Agrafiotis,Nikolas Agrafiotis,22,63,ST,ST,Serbia,Excelsior
N. Gudelj,Nemanja Gudelj,30,79,"CDM,CB",CDM,Serbia,Sevilla FC
I. Ilić,Ivan Ilić,21,76,"CM,CF",CAM,Serbia,Hellas Verona
A. Terzić,Aleksa Terzić,22,67,LB,LB,Serbia,Fiorentina
Đ. Petrović,Đorđe Petrović,22,67,GK,GK,Serbia,New England Revolution
B. Knežević,Branislav Knežević,20,57,CAM,CAM,Serbia,Elche CF
U. Račić,Uroš Račić,24,75,"CM,CDM",CM,Serbia,SC Braga
P. Golubović,Petar Golubović,27,65,"RWB,CB",RWB,Serbia,Aalesunds FK
V. Milinković-Savić,Vanja Milinković-Savić,25,73,GK,GK,Serbia,Torino F.C.
S. Mihajlovic,Stefan Mihajlovic,28,65,ST,ST,Serbia,Shijiazhuang Ever Bright F.C.
M. Jevtović,Milan Jevtović,29,64,"LW,RW",LW,Serbia,Odds BK
P. Rajković,Predrag Rajković,26,78,GK,GK,Serbia,RCD Mallorca
N. Matić,Nemanja Matić,33,79,CDM,CDM,Serbia,Roma
F. Mladenović,Filip Mladenović,30,69,"LB,LM",LB,Serbia,Legia Warszawa
M. Ninković,Miloš Ninković,37,69,CAM,CAM,Serbia,Western Sydney Wanderers
A. Prijović,Aleksandar Prijović,32,67,ST,ST,Serbia,Western United FC
F. Kusić,Filip Kusić,26,63,"CB,LB,RB",CB,Serbia,FSV Zwickau
M. Ilić,Marko Ilić,24,69,GK,GK,Serbia,KV Kortrijk
M. Jevtović,Marko Jevtović,28,71,"CDM,CB,CM",CB,Serbia,Gazişehir Gaziantep F.K.
L. Jović,Luka Jović,24,79,ST,ST,Serbia,Fiorentina
R. Dugalić,Rade Dugalić,29,70,CB,CB,Serbia,Meizhou Hakka
U. Radaković,Uroš Radaković,28,69,CB,CB,Serbia,MKE Ankaragücü
M. Ristić,Mihailo Ristić,26,74,"LB,LWB",LB,Serbia,SL Benfica
M. Pavkov,Milan Pavkov,28,71,ST,ST,Serbia,Al Fayha
F. Stevanović,Filip Stevanović,19,63,"LM,LW",CAM,Serbia,Santa Clara
S. Tedić,Slobodan Tedić,22,63,ST,ST,Serbia,Barnsley
M. Nastasić,Matija Nastasić,29,74,CB,CB,Serbia,RCD Mallorca
D. Sorgić,Dejan Sorgić,32,66,ST,ST,Serbia,FC Luzern
R. Veselinović,Ranko Veselinović,23,68,CB,CB,Serbia,Vancouver Whitecaps FC
M. Rundić,Milan Rundić,30,66,CB,CB,Serbia,Raków Częstochowa
A. Pejić,Aleksa Pejić,22,64,CDM,CDM,Serbia,SK Rapid Wien
B. Popovic,Boris Popovic,22,65,CB,CB,Serbia,KSV Cercle Brugge
Ž. Gavrić,Željko Gavrić,21,67,"CAM,LM,RM",CAM,Serbia,Ferencvárosi TC
V. Birmančević,Veljko Birmančević,24,70,"LW,ST",CAM,Serbia,Toulouse Football Club
N. Petrović,Njegoš Petrović,22,72,"CDM,CM",CDM,Serbia,Granada CF
M. Gaćinović,Mijat Gaćinović,27,73,"CAM,CM",CAM,Serbia,AEK Athens
B. Janošević,Budimir Janošević,32,64,GK,GK,Serbia,AIK
B. Radunović,Boris Radunović,26,68,GK,GK,Serbia,Cagliari
M. Dmitrović,Marko Dmitrović,30,80,GK,GK,Serbia,Sevilla FC
S. Pavlović,Strahinja Pavlović,21,71,CB,CB,Serbia,FC Red Bull Salzburg
K. Andrić,Komnen Andrić,27,69,ST,ST,Serbia,Clermont Foot 63
H. Radetinac,Haris Radetinac,36,65,"LW,RB,RW",CAM,Serbia,Djurgårdens IF
V. Dekić,Vladan Dekić,22,60,GK,GK,Serbia,Pisa
A. Paločević,Aleksandar Paločević,28,67,CM,CM,Serbia,FC Seoul
M. Lazetić,Marko Lazetić,18,65,ST,ST,Serbia,AC Milan
U. Milovanović,Uros Milovanović,21,63,ST,ST,Serbia,Real Sporting de Gijón
M. Ivančević,Mihajlo Ivančević,23,63,CB,CB,Serbia,Odense Boldklub
V. Latinovich,Vuk Latinovich,24,55,CB,CB,Serbia,New York City FC
S. Surdanović,Stefano Surdanović,23,63,"ST,RM,CAM",ST,Serbia,Austria Lustenau
M. Vulić,Miloš Vulić,25,69,"CDM,CM",CM,Serbia,Perugia
N. Radonjić,Nemanja Radonjić,26,74,"LW,RW,CF",LW,Serbia,Torino F.C.
B. Radulović,Bojan Radulović,22,61,ST,ST,Serbia,HJK Helsinki
L. Milivojević,Luka Milivojević,31,74,"CDM,CM",CDM,Serbia,Crystal Palace
F. Mulić,Fejsal Mulić,27,69,ST,ST,Serbia,Seongnam FC
A. Radovanović,Aleksandar Radovanović,28,70,CB,CB,Serbia,KV Kortrijk
A. Sedlar,Aleksandar Sedlar,30,70,"CB,CDM",CB,Serbia,Deportivo Alavés
A. Mitrović,Aleksandar Mitrović,27,78,ST,ST,Serbia,Fulham
N. Stevanović,Nikola Stevanović,23,65,CB,CB,Serbia,FC Ingolstadt 04
D. Savić,Dragoljub Savić,21,61,"LM,RM",CAM,Serbia,SK Rapid Wien
D. Vlahović,Dušan Vlahović,22,84,ST,ST,Serbia,Juventus
B. Jovičić,Branko Jovičić,29,65,"CDM,CM",CDM,Serbia,LASK Linz
D. Joveljić,Dejan Joveljić,22,71,ST,ST,Serbia,LA Galaxy
M. Ćoćić,Miloš Ćoćić,19,54,"LW,CAM",CAM,Serbia,TSV 1860 München
F. Stanković,Filip Stanković,20,66,GK,GK,Serbia,FC Volendam
N. Milenković,Nikola Milenković,24,80,CB,CB,Serbia,Fiorentina
M. Bočić,Miloš Bočić,22,58,ST,ST,Serbia,Frosinone
S. Mitrović,Stefan Mitrović,32,74,CB,CB,Serbia,Getafe CF
M. Veljković,Miloš Veljković,26,73,CB,CB,Serbia,SV Werder Bremen
M. Grujić,Marko Grujić,26,76,"CM,CDM",CM,Serbia,FC Porto
I. Radovanović,Ivan Radovanović,33,73,"CB,CDM",CB,Serbia,US Salernitana 1919
U. Matić,Uroš Matić,32,71,"CM,CDM",CM,Serbia,Abha Club
M. Milovanović,Marko Milovanović,18,68,ST,ST,Serbia,Unión Deportiva Almería
A. Živković,Andrija Živković,25,77,"RW,LW",RW,Serbia,PAOK
D. Lemajić,Darko Lemajić,28,66,ST,ST,Serbia,KAA Gent
D. Tadić,Dušan Tadić,33,84,"LW,CF,CAM",LW,Serbia,Ajax
L. Marković,Lazar Marković,28,73,"RM,RW",RW,Serbia,Gazişehir Gaziantep F.K.
Z. Alomerović,Zlatan Alomerović,31,67,GK,GK,Serbia,Jagiellonia Białystok
E. Mašović,Erhan Mašović,23,71,"CB,CDM",CB,Serbia,VfL Bochum 1848
N. Đurđić,Nikola Đurđić,36,63,"ST,RW",ST,Serbia,Degerfors IF
D. Lazović,Darko Lazović,31,77,LM,LM,Serbia,Hellas Verona
R. Petrović,Radosav Petrović,33,70,CDM,CDM,Serbia,Real Zaragoza
A. Vukanović,Aleksa Vukanović,30,60,ST,ST,Serbia,Meizhou Hakka
S. Lukić,Saša Lukić,25,77,CM,CM,Serbia,Torino F.C.
F. Kostić,Filip Kostić,29,85,"LM,LWB",LM,Serbia,Juventus
D. Brašanac,Darko Brašanac,30,74,"CM,CDM,CAM",CM,Serbia,CA Osasuna
Antonio Sánchez,Antonio Sánchez Navarro,25,72,"RM,CM,LM",CAM,Spain,RCD Mallorca
Juankar,Juan Carlos Pérez López,32,73,"LB,LWB",LB,Spain,Panathinaikos FC
Álex Castro,Alejandro Pérez Castroviejo,20,60,LM,CAM,Spain,Elche CF
Meseguer,Víctor Meseguer Cavas,23,69,CDM,CM,Spain,Granada CF
Sergio,Sergio González Poirrier,30,69,CB,CB,Spain,CD Leganés
Óscar Sielva,Óscar Sielva Moreno,30,72,"CDM,CM",CM,Spain,SD Huesca
Dani Martín,Daniel Martín Fernández,23,69,GK,GK,Spain,Real Betis Balompié
Diego Mariño,Diego Mariño Villar,32,72,GK,GK,Spain,Real Sporting de Gijón
Àlex Corredera,Alexandre Corredera Alardi,26,72,"CM,CAM,RM",CM,Spain,CD Tenerife
Álex Pozo,Alejandro Pozo Pozo,23,72,"RB,RM,RWB",RM,Spain,Unión Deportiva Almería
Dani Vidal,Daniel Vidal Martínez,22,60,CM,CDM,Spain,CD Lugo
Rodri,Rodrigo Hernández Cascante,26,87,CDM,CDM,Spain,Manchester City
Jutglà,Ferran Jutglà Blanch,23,72,"ST,LW",ST,Spain,Club Brugge KV
Xavi Torres,Xavier Torres Buigues,35,72,"CDM,CB",CDM,Spain,CD Lugo
Mateu Morey,Mateu Jaume Morey Bauzá,22,72,"RB,RM",RWB,Spain,Borussia Dortmund
Quintela,Adrián Quintela Moya,21,60,GK,GK,Spain,Rayo Vallecano
Guerrero,Adrián Guerrero Aguilar,24,72,"LWB,LB,LM",LWB,Spain,FC Zürich
Dani González,Daniel González Flores,20,60,"ST,LM",ST,Spain,Albacete BP
Quintillà,Xavier Quintillà Guasch,25,69,"LB,LM",LWB,Spain,Santa Clara
Marc Fernández,Marc Fernández Gracia,32,60,"LM,RM,ST",LM,Spain,FC Andorra
Riquelme,Rodrigo Riquelme Reche,22,69,"CAM,CM,LM",CAM,Spain,Girona FC
Tomás Mendes,Tomás Mendes Mendes,17,60,CM,CM,Spain,Deportivo Alavés
Álex Bermejo,Álex Bermejo Escribano,23,69,"LM,RM,ST",CAM,Spain,Burgos CF
Juan Soriano,Juan Soriano Oropesa,24,73,GK,GK,Spain,CD Tenerife
Josan,José Antonio Ferrández Pomares,32,73,"RM,RWB",RM,Spain,Elche CF
Carlos Romero,Carlos Romero Serrano,20,60,LB,LB,Spain,Villarreal Club de Fútbol B
Marc Valiente,Marc Valiente Hernández,35,69,CB,CB,Spain,FC Goa
Juan Iglesias,Juan Antonio Iglesias Sánchez,23,72,"RB,RM,RWB",RB,Spain,Getafe CF
Enric Gallego,Enrique Gallego Puigsech,35,73,ST,ST,Spain,CD Tenerife
Adán,Antonio Adán Garrido,35,81,GK,GK,Spain,Sporting CP
Borja Iglesias,Borja Iglesias Quintás,29,81,ST,ST,Spain,Real Betis Balompié
Rodrigo,Rodrigo Alonso Martín,19,60,CM,CAM,Spain,Villarreal Club de Fútbol B
Rodri Tarín,Rodrigo Tarín Higón,25,69,"CB,RB",CB,Spain,Real Oviedo
Andy,José Andrés Rodriguez Gaitán,32,69,"CM,CDM",CM,Spain,Burgos CF
Dani Ojeda,Daniel Ojeda Saranova,27,72,"RM,LM,CAM",RM,Spain,SD Ponferradina
Lucas Vázquez,Lucas Vázquez Iglesias,31,81,"RB,RW",RB,Spain,Real Madrid CF
Merino,Mikel Merino Zazón,26,83,CM,CM,Spain,Real Sociedad
Fran Villalba,Francisco José Villalba Rodrigo,24,72,"CAM,LM,RM",CAM,Spain,Málaga CF
Sergio Camello,Sergio Camello Pérez,21,71,"ST,CAM",ST,Spain,Rayo Vallecano
Bustinza,Unai Bustinza Martínez,30,70,"CB,RB",CB,Spain,Málaga CF
Canales,Sergio Canales Madrazo,31,84,"RM,CAM,CDM",RM,Spain,Real Betis Balompié
John Patrick,John Patrick Finn Benoa,18,59,"CAM,ST,CM",ST,Spain,Getafe CF
Muniain,Iker Muniain Goñi,29,84,"LM,CAM",LM,Spain,Athletic Club de Bilbao
Carrillo,José Ángel Carrillo Casamayor,28,70,ST,ST,Spain,SD Huesca
Rodri,Rodrigo Sánchez Rodríguez,22,73,"RM,LM,CM",CAM,Spain,Real Betis Balompié
David Soria,David Soria Solís,29,82,GK,GK,Spain,Getafe CF
Jon Morcillo,Jon Morcillo Conesa,23,71,"LM,LW",ST,Spain,Athletic Club de Bilbao
Fran Gámez,Francisco Gámez López,30,71,RB,RB,Spain,Real Zaragoza
Álvaro Jiménez,Álvaro José Jiménez Guerrero,27,70,"RM,LM",RM,Spain,Unión Deportiva Las Palmas
Alex Muñoz,Alejandro José Muñoz Miguel,27,71,"LB,CB",LB,Spain,Levante Unión Deportiva
Sergio Tejera,Sergio Tejera Rodríguez,32,70,"CDM,CM",CDM,Spain,FC Cartagena
Paris Adot,Paris Adot Barandiaran,32,70,RB,RB,Spain,SD Ponferradina
Miguel Muñoz,Miguel Muñoz Fernández,25,58,CB,CB,Spain,Piast Gliwice
Javi López,Javier López Rodríguez,36,70,RB,RB,Spain,Adelaide United
Timor,David Timor Copoví,32,71,"CDM,CM,CB",CDM,Spain,SD Huesca
Francés,Alejandro Francés Torrijo,19,73,CB,CB,Spain,Real Zaragoza
Jason,David Jason Remeseiro Salgueiro,27,73,RM,RM,Spain,Deportivo Alavés
Juanma García,Juan Manuel García García,29,70,"ST,LM,RM",RW,Spain,Albacete BP
José Crespo,José Ángel Crespo Rincón,35,70,"CB,RB,LB",CB,Spain,APOEL Nicosia FC
Eugeni,Eugeni Valderrama Domènech,27,70,"CM,CDM,CAM",CAM,Spain,Real Zaragoza
David Silva,David Josué Jiménez Silva,36,83,"CAM,CM",CAM,Spain,Real Sociedad
Jesús Vázquez,Jesús Vázquez Alcalde,19,70,"LB,LWB,LM",LB,Spain,Valencia CF
Iván Sánchez,Iván Sánchez Aguayo,29,73,"RM,CM,CAM",LW,Spain,Real Valladolid CF
Víctor Gómez,Víctor Gómez Perea,22,70,RB,RWB,Spain,SC Braga
Nico Serrano,Nicolás Serrano Galdeano,19,70,"LM,CAM,RM",CAM,Spain,CD Mirandés
Luís Hernández,Luís Hernández Rodríguez,33,73,CB,CB,Spain,Cádiz CF
Luis Alberto,Luis Alberto Romero Alconchel,29,83,CM,CM,Spain,Lazio
Sergio León,Sergio León Limones,33,73,ST,ST,Spain,Real Valladolid CF
Koke,Jorge Resurrección,30,83,"CM,CDM",CM,Spain,Atlético de Madrid
Unai García,Unai García Lugea,29,73,CB,CB,Spain,CA Osasuna
Gonzalo Verdú,Gonzalo Caicedo Verdú,33,71,CB,CB,Spain,Elche CF
Waldo,Waldo Rubio Martin,26,70,"LM,RM",RW,Spain,CD Tenerife
Jorge Miramón,Jorge Miramón,33,71,"RB,RWB",RB,Spain,CD Leganés
Jefté,Jefté Betancor Sánchez,28,70,ST,ST,Spain,CFR Cluj
Alberto Soro,Alberto Soro Álvarez,23,71,"RM,ST,LM",CAM,Spain,Granada CF
Aritz Elustondo,Aritz Elustondo,28,82,"CB,RB",CB,Spain,Real Sociedad
Álex Remiro,Alejandro Remiro Gargallo,27,82,GK,GK,Spain,Real Sociedad
Iván Villar,Iván Villar Martínez,24,71,GK,GK,Spain,RC Celta de Vigo
Álex Blanco,Alejandro Blanco Sánchez,23,70,"LM,RM",LM,Spain,Como
Jairo,Jairo Izquierdo González,28,71,"LWB,LB,LM",LWB,Spain,FC Cartagena
Àlex Baño,Àlex Baño Canellas,22,59,GK,GK,Spain,SD Ponferradina
Adrián González,Adrián González Moyano,22,59,GK,GK,Spain,Sevilla FC
Javi Garrido,Javier Garrido López,18,59,GK,GK,Spain,CD Leganés
Óscar Plano,Óscar Plano Pedreño,31,73,"RM,LM,CF",RM,Spain,Real Valladolid CF
Rubén Gómez,Rubén Gómez Peris,20,59,GK,GK,Spain,Villarreal Club de Fútbol B
Dani Gómez,Daniel Gómez Alcón,23,71,ST,ST,Spain,RCD Espanyol de Barcelona
Algobia,Ángel Algobia Esteves,23,59,CM,CM,Spain,Getafe CF
Rubén Sobrino,Rubén Sobrino Pozuelo,30,73,"ST,RM,LM",ST,Spain,Cádiz CF
Unai Ruiz,Unai Ruiz Almandzo,22,57,GK,GK,Spain,SD Eibar
Manu Morlanes,Manuel Morlanes Ariño,23,73,"CDM,CM",CM,Spain,Villarreal CF
Carvajal,Daniel Carvajal Ramos,30,84,RB,RB,Spain,Real Madrid CF
Gayà,José Luís Gayà Peña,27,82,"LB,LM",LB,Spain,Valencia CF
San Emeterio,Federico San Emeterio Díaz,25,72,"CM,CDM",CDM,Spain,Cádiz CF
Marc Vidal,Marc Vidal Girona,22,59,GK,GK,Spain,FC Andorra
Álvaro,Álvaro Fernández Llorente,24,71,GK,GK,Spain,RCD Espanyol de Barcelona
Antonio Blanco,Antonio Blanco Conde,21,71,"CM,CDM",CM,Spain,Cádiz CF
Rober Correa,Roberto Antonio Correa Silva,29,70,RB,RB,Spain,SD Eibar
Róber,Roberto Suárez Pier,27,71,"CB,CDM",CB,Spain,Levante Unión Deportiva
Carlos Domínguez,Carlos Dominguez Cáceres,21,70,CB,CB,Spain,RC Celta de Vigo
Benito,Benito Ramírez del Toro,26,70,"LB,LM,RM",LB,Spain,Unión Deportiva Las Palmas
Grimaldo,Alejandro Grimaldo García,26,82,"LB,LWB,LM",LB,Spain,SL Benfica
Adrián López,Adrián López Álvarez,34,70,"ST,LM,RM",CF,Spain,Málaga CF
Loren,Lorenzo Morón García,28,72,ST,ST,Spain,Real Betis Balompié
Corpas,José Corpas Serna,30,73,RM,RM,Spain,SD Eibar
Álex Ramos,Alejandro Ramos Rodríguez,22,56,CM,CDM,Spain,CD Lugo
Fran Delgado,Francisco Delgado Rojano,20,59,"RB,RM",RB,Spain,Real Betis Balompié
Miguelón,Miguel Juan Llambrich,26,71,RB,RB,Spain,Real Oviedo
Mangel Ruiz,Miguel Ángel Ruiz Herráiz,20,58,"RB,RM,CAM",CB,Spain,Villarreal Club de Fútbol B
Monchu,Ramón Rodríguez Jiménez,22,73,"CM,CDM",CM,Spain,Real Valladolid CF
Rubén Sánchez,Rubén Sánchez Sáez,21,70,"RB,RM",RB,Spain,RCD Espanyol de Barcelona
Javi Martínez,Javier Martínez Calvo,22,70,"CM,RM",CAM,Spain,Albacete BP
Fran Sol,Francisco Sol Ortiz,30,70,ST,ST,Spain,Málaga CF
Angeliño,José Ángel Esmoris Tasende,25,83,"LWB,LM",LM,Spain,TSG Hoffenheim
Pau Torres,Pau Francisco Torres,25,83,CB,CB,Spain,Villarreal CF
Guruzeta,Gorka Guruzeta Rodríguez,25,70,ST,ST,Spain,Athletic Club de Bilbao
San Nicolás,Gorka San Nicolás Gil,21,58,GK,GK,Spain,SD Eibar
Juan Carlos,Juan Carlos Martín Corral,34,73,GK,GK,Spain,Girona FC
Carlos Soler,Carlos Soler Barragán,25,83,"CM,RM,CDM",CM,Spain,Paris Saint-Germain
Pablo Castrín,Pablo López Gallo,22,58,CB,CB,Spain,CD Lugo
Martín,Martín Aguirregabiria,26,73,"RB,RM,LB",RB,Spain,Futebol Clube de Famalicão
Marco Asensio,Marco Asensio Willemsen,26,83,RW,RW,Spain,Real Madrid CF
Ríos Reina,José Antonio Ríos Reina,32,70,LB,LB,Spain,SD Eibar
Óscar Whalley,Óscar Alexander Whalley Guardado,28,70,GK,GK,Spain,CD Lugo
Juanjo Nieto,Juan José Nieto Zarzoso,27,70,RB,RB,Spain,Unión Deportiva Almería
Nico Melamed,Nicolás Melamed Ribaudo,21,73,"LM,CAM,RM",CAM,Spain,RCD Espanyol de Barcelona
Dani González,Daniel González García,20,57,CAM,CAM,Spain,Racing Santander
Raúl Blanco,Raúl Blanco Juncal,20,58,CM,CAM,Spain,RC Celta de Vigo
Vadillo,Álvaro Vadillo Cifuentes,27,70,"LM,RM,ST",LM,Spain,SD Eibar
Andrés Martín,Andrés Martín García,22,70,"ST,RM,CAM",ST,Spain,Rayo Vallecano
Fabián,Fabián Ruiz Peña,26,83,"CM,CDM",CM,Spain,Paris Saint-Germain
Gumbau,Gerard Gumbau Garriga,27,73,"CM,CDM",CM,Spain,Elche CF
Germán Fernández,Germán Fernández Hidalgo,21,58,GK,GK,Spain,Racing Santander
Valery,Valery Fernández Estrada,22,70,"RM,LWB,LM",RM,Spain,Girona FC
Unai Simón,Unai Simón Mendibil,25,83,GK,GK,Spain,Athletic Club de Bilbao
Caro,José Antonio Caro Díaz,28,70,GK,GK,Spain,Burgos CF
Gálvez,Alejandro Gálvez Jimena,33,70,CB,CB,Spain,UD Ibiza
Stoichkov,Juan Diego Molina Martínez,28,73,"LM,ST,CAM",CF,Spain,SD Eibar
Alex Rodríguez,Alejandro Rodríguez Lorite,20,58,RB,RB,Spain,Getafe CF
Marc Llinares,Marc Llinares Barragán,22,57,LB,LB,Spain,CA Osasuna
Saúl,Saúl García Cabrero,27,70,LB,LB,Spain,Racing Santander
Coke,Jorge Andújar Moreno,35,70,"RB,CB",CB,Spain,UD Ibiza
Brandon Thomas,Brandon Thomas Llamas,27,70,"ST,LM,RM",ST,Spain,PAOK
Fran Vélez,Francisco Vélez Jiménez,31,73,CB,CB,Spain,Al Fateh
Marcos Llorente,Marcos Llorente Moreno,27,84,"CM,RM,RB",CAM,Spain,Atlético de Madrid
José Carrillo,José Carrillo Mancilla,27,57,CB,CB,Spain,Finn Harps
Jaime Durán,Jaime Durán Jiménez,21,57,GK,GK,Spain,RCD Mallorca
Piqué,Gerard Piqué Bernabeu,35,83,CB,CB,Spain,FC Barcelona
Alhagi Touray,Alhagi Touray Sisay,22,58,ST,ST,Spain,Accrington Stanley
Jesús Fernández,Jesús Fernández Alonso,22,57,"CM,CB",CDM,Spain,CD Lugo
Juanpe Navarro,Juan Pedro Navarro Valverde,23,58,GK,GK,Spain,Elche CF
Aleñá,Carles Aleñá Castillo,24,73,"CM,RM,LM",CAM,Spain,Getafe CF
José Pozo,José Ángel Pozo la Rosa,26,73,"CAM,CM,LM",CAM,Spain,Rayo Vallecano
Agus Medina,Agustín Medina Delgado,27,70,"CDM,CAM",CDM,Spain,SD Ponferradina
Alberto Perea,Alberto Perea Correoso,31,73,"LM,CAM,RM",LM,Spain,Granada CF
Josep Martínez,Josep Martínez Riera,24,70,GK,GK,Spain,Genoa
Pablo Valcarce,Pablo Valcarce Vidal,29,70,"RM,LM,ST",RM,Spain,Burgos CF
Jaume Grau,Jaume Grau Ciscar,25,70,"CDM,CM",CDM,Spain,Real Zaragoza
Kirian,Kirian Rodríguez,26,70,"CM,CDM,CAM",CAM,Spain,Unión Deportiva Las Palmas
Espigares,Antonio Espigares Morillas,17,58,CB,CB,Spain,Villarreal Club de Fútbol B
Álvaro Valles,Álvaro Valles Rosa,24,70,GK,GK,Spain,Unión Deportiva Las Palmas
Garrido,Jon Ander Garrido Moracia,32,70,CDM,CDM,Spain,Cádiz CF
Iván Martos,Iván Martos Campillo,25,70,"LB,CB",LB,Spain,Unión Deportiva Almería
Oyarzabal,Mikel Oyarzabal Ugarte,25,84,"LW,RW",LW,Spain,Real Sociedad
Julen,Julen Fernández Díaz,23,58,GK,GK,Spain,CD Lugo
David Gil,David Gil Mohedano,28,70,GK,GK,Spain,Cádiz CF
Tete Morente,José Antonio Morente Oliva,25,73,"RM,LM,CF",RM,Spain,Elche CF
Mingueza,Óscar Mingueza García,23,73,"CB,RB",CB,Spain,RC Celta de Vigo
Zarraga,Oier Zarraga Egaña,23,73,"CM,RM",CAM,Spain,Athletic Club de Bilbao
Sergio Gónzalez,Sergio Gónzalez Martínez,25,70,"CB,CDM",CB,Spain,CD Tenerife
Álex Collado,Álex Collado Gutiérrez,23,70,"CM,RM,CAM",CAM,Spain,Elche CF
Álex Primo,Alejandro Primo Hernández,17,58,GK,GK,Spain,Levante Unión Deportiva
Daniel Ayala,Daniel Sánchez Ayala,31,70,CB,CB,Spain,Blackburn Rovers
Tommy,Tomás Romero Cejudo,19,57,GK,GK,Spain,Albacete BP
Carlitos,Carlos Daniel López Huesca,32,73,"ST,CAM",ST,Spain,Legia Warszawa
Iván Cuéllar,Iván Cuéllar Sacristán,38,70,GK,GK,Spain,Real Sporting de Gijón
Jesús Navas,Jesús Navas González,36,83,"RB,RM",RB,Spain,Sevilla FC
Osmar,Osmar Ibañez Barba,34,73,"CB,CDM,CM",CB,Spain,FC Seoul
Aitor Sanz,Aitor Sanz Martín,37,72,"CM,CDM",CDM,Spain,CD Tenerife
Dani Olmo,Daniel Olmo Carvajal,24,82,"CAM,CF",CAM,Spain,RB Leipzig
Sergio Ramos,Sergio Ramos García,36,84,CB,CB,Spain,Paris Saint-Germain
Cantero,Ander Cantero Armendariz,27,73,GK,GK,Spain,SD Eibar
Javi Sánchez,Javier Sánchez de Felipe,25,73,CB,CB,Spain,Real Valladolid CF
Darío Ramos,Darío Ramos Pinazo,22,60,GK,GK,Spain,CA Osasuna
Thiago,Thiago Alcântara,31,86,CM,CM,Spain,Liverpool
Portillo,Francisco Portillo Soler,32,72,"RM,LM",RM,Spain,Unión Deportiva Almería
Sergi Guardiola,Sergio Guardiola Navarro,31,73,ST,ST,Spain,Real Valladolid CF
E. Mayenda,Eliezer Mayenda,17,53,ST,ST,Spain,FC Sochaux-Montbéliard
Arnau Martínez,Arnau Martínez López,19,71,"RWB,RB,CB",RWB,Spain,Girona FC
J. Mendy,Jacob Mendy,25,59,"LWB,LB",LWB,Spain,Wrexham AFC
José Mari,José María Martín Bejarano,34,70,"CDM,CM",CDM,Spain,Cádiz CF
Aitor Buñuel,Aitor Buñuel Redrado,24,70,"RB,CB",RWB,Spain,CD Tenerife
Brugui,Roger Brugué Ayguade,25,70,"RM,LM",CAM,Spain,Levante Unión Deportiva
Hugo Pérez,Hugo Pérez Balderas,19,59,CB,CB,Spain,Villarreal Club de Fútbol B
